,Feature Type,Municipality,Place Name,Longitude,Latitude,Historical Information,Url,Suburb,Categories
10,Monument,Frankston City Council,John Famechon Monument,145.15884630000000,-38.1525046,,,Frankston,"['Frankston City Council', 'Frankston', 'Tourist', 'Monument']"
11,Monument,Melbourne City Council,Shrine Of Rememberance,144.9734889,-37.8305444,"It commemorates the service and sacrifice of all Victorians who have served and died in wars since World War I (1914-18). It embodies the devastating impact of that war on the Australian nation, and Victoria in particular, which lost the largest proportion of its young men in the country. When the project was conceived, Melbourne was the capital of Australia and the seat of Federal Parliament and this resulted in the grandest war memorial in Australia, until the Australian War Memorial was built in Canberra in 1941. Since World War II (1939-45) numerous elements, including a commemorative forecourt, trees, statues and memorials, have been added to the Shrine Reserve to honour servicemen and women and peacekeepers from 1939 to the present day. As the largest and most important war memorial in Victoria, it reflects the community's ongoing need for a public expression of grief and of commemoration for the sacrifice of life in war.",vhd.heritagecouncil.vic.gov.au/places/806,Melbourne City,"['Melbourne City Council', 'Melbourne City', 'Tourist', 'Monument']"
12,Monument,Mitchell Shire Council,Bassett,145.07875,-37.0290278,,,Hilldene,"['Mitchell Shire Council', 'Hilldene', 'Tourist', 'Monument']"
13,Monument,Mitchell Shire Council,Brantwood,145.2151389,-36.9590278,,,Avenel,"['Mitchell Shire Council', 'Avenel', 'Tourist', 'Monument']"
14,Monument,Mitchell Shire Council,Kings Park,145.12402780000000,-37.0206944,,,Seymour,"['Mitchell Shire Council', 'Seymour', 'Tourist', 'Monument', 'Park']"
15,Monument,Mitchell Shire Council,Mollisons Memorial,144.8756548,-37.1539634,,,Willowmavin,"['Mitchell Shire Council', 'Willowmavin', 'Tourist', 'Monument']"
16,Monument,Mitchell Shire Council,Rokeby,145.1670833,-37.0934722,,,Tallarook,"['Mitchell Shire Council', 'Tallarook', 'Tourist', 'Monument']"
17,Beach,Mornington Peninsula Shire Council,Bay Beach,144.7486265,-38.3420493,,,Sorrento,"['Mornington Peninsula Shire Council', 'Sorrento', 'Tourist', 'Beach', 'Beach']"
18,Beach,Mornington Peninsula Shire Council,Birdrock Beach,145.02762100000000,-38.2492901,,,Mount Martha,"['Mornington Peninsula Shire Council', 'Mount Martha', 'Tourist', 'Beach', 'Beach']"
19,Beach,Mornington Peninsula Shire Council,Craigie Beach,145.0254164,-38.2535951,,,Mount Martha,"['Mornington Peninsula Shire Council', 'Mount Martha', 'Tourist', 'Beach', 'Beach']"
20,Beach,Mornington Peninsula Shire Council,Dava Beach,145.0284023,-38.2454162,,,Mornington,"['Mornington Peninsula Shire Council', 'Mornington', 'Tourist', 'Beach', 'Beach']"
