,Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Categories,Historical Information,Url
2072,Manningham City Council,Stintons Reserve,Park Orchards,-37.767674,145.204295,Australian Rules Football,1.0,Grass,4. Good,Male,Stintons Road Park Orchards 3114,,"['Manningham City Council', 'Park Orchards', 'Sports', 'Football']",,
2073,Manningham City Council,Ted Ajani Reserve,Lower Templestowe,-37.768042,145.106722,Australian Rules Football,1.0,Grass,5. Very Good,"Male, Umpire/Officials",Thompsons Road Lower Templestowe 3107,,"['Manningham City Council', 'Lower Templestowe', 'Sports', 'Football']",,
2074,Manningham City Council,Templestowe Reserve,Templestowe,-37.754361,145.13734,Australian Rules Football,2.0,Grass,5. Very Good,Unisex,Hawtin Street Templestowe 3106,,"['Manningham City Council', 'Templestowe', 'Sports', 'Football']",,
2075,Manningham City Council,Timber Ridge Reserve,Doncaster,-37.77617100000000,145.10674700000000,Australian Rules Football,1.0,Grass,4. Good,Unisex,Marianne Way Doncaster 3108,,"['Manningham City Council', 'Doncaster', 'Sports', 'Football']",,
2076,Manningham City Council,Warrandyte Reserve,Warrandyte,-37.745651,145.208599,Australian Rules Football,2.0,Grass,2. Poor,"Female, Male",Taroona Avenue Warrandyte 3113,,"['Manningham City Council', 'Warrandyte', 'Sports', 'Football']",,
2077,Manningham City Council,Wilsons Road Reserve,Doncaster,-37.791593,145.110164,Australian Rules Football,1.0,Grass,4. Good,"Female, Male",Wilsons Road Doncaster 3108,,"['Manningham City Council', 'Doncaster', 'Sports', 'Football']",,
2078,Manningham City Council,Zerbes Reserve,East Doncaster,-37.778358,145.160145,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male",Saxonwood Drive East Doncaster 3109,,"['Manningham City Council', 'East Doncaster', 'Sports', 'Football']",,
2079,Manningham City Council,Doncaster Badminton Centre,Doncaster,-37.78571,145.131872,Badminton,6.0,Wooden Gymnasium,4. Good,"Female, Male",Hummel Way Doncaster 3108,,"['Manningham City Council', 'Doncaster', 'Sports', 'Badminton']",,
2080,Manningham City Council,Manningham Donvale Indoor Sports Centre,Springvale,-37.799435,145.177737,Badminton,,Wooden Gymnasium,5. Very Good,Unisex,360 Springvale Road Springvale 3171,,"['Manningham City Council', 'Springvale', 'Sports', 'Badminton']",,
2081,Manningham City Council,Deep Creek Reserve,East Doncaster,-37.75117,145.174676,Baseball,1.0,Grass,4. Good,Unisex,Warrandyte Road East Doncaster 3109,,"['Manningham City Council', 'East Doncaster', 'Sports', 'Baseball']",,
2082,Manningham City Council,Doncaster Leeds Street Sports Centre,East Doncaster,-37.788628,145.15131600000000,Basketball,1.0,Wooden Gymnasium,4. Good,,Leeds Street East Doncaster 3109,,"['Manningham City Council', 'East Doncaster', 'Sports', 'Basketball']",,
2083,Manningham City Council,Park Orchards Community Centre,Park Orchards,-37.778933,145.215429,Basketball,1.0,Wooden Gymnasium,4. Good,"Female, Male",Bowmore Avenue Park Orchards 3114,,"['Manningham City Council', 'Park Orchards', 'Sports', 'Basketball']",,
2084,Manningham City Council,Templestowe Heights Primary School,Templestowe,-37.766629,145.120015,Basketball,1.0,Wooden Gymnasium,3. Average,,High Street Templestowe 3106,,"['Manningham City Council', 'Templestowe', 'Sports', 'Basketball']",,
2085,Manningham City Council,Templestowe Leisure Centre,Templestowe,-37.758454,145.12860700000000,Basketball,2.0,Wooden Gymnasium,4. Good,Unisex,1 Anderson Street Templestowe 3106,,"['Manningham City Council', 'Templestowe', 'Sports', 'Basketball']",,
2086,Manningham City Council,The Veneto Club,Bulleen,-37.772202,145.077675,Basketball,1.0,Wooden Gymnasium,,,191 Bulleen Road Bulleen 3105,,"['Manningham City Council', 'Bulleen', 'Sports', 'Basketball']",,
2087,Manningham City Council,Wonga Park Reserve,Wonga Park,-37.739211,145.267184,BMX,1.0,Dirt,,,Launders Avenue Wonga Park 3115,,"['Manningham City Council', 'Wonga Park', 'Sports']",,
2088,Manningham City Council,Boronia Grove Reserve,East Doncaster,-37.799118,145.152792,Cricket,1.0,Synthetic Pitch,3. Average,,Leeds Street East Doncaster 3109,,"['Manningham City Council', 'East Doncaster', 'Sports', 'Cricket']",,
2089,Manningham City Council,Burgundy Drive Reserve,Doncaster,-37.779498,145.118803,Cricket,1.0,Concrete Pitch,,,Burgundy Drive Doncaster 3108,,"['Manningham City Council', 'Doncaster', 'Sports', 'Cricket']",,
2090,Manningham City Council,Buck Reserve,Donvale,-37.766492,145.186757,Equestrian,,,,,Reynolds Road Donvale 3111,,"['Manningham City Council', 'Donvale', 'Sports']",,
2091,Manningham City Council,Aquarena,Lower Templestowe,-37.773865,145.123387,Fitness / Gymnasium Workouts,2.0,,4. Good,"Female, Male, Unisex",153 williamsons Road Lower Templestowe 3107,,"['Manningham City Council', 'Lower Templestowe', 'Sports', 'Gymnasium']",,
2092,Manningham City Council,Contours Doncaster,East Doncaster,-37.789012,145.149702,Fitness / Gymnasium Workouts,1.0,,,,44 Jackson Court East Doncaster 3109,,"['Manningham City Council', 'East Doncaster', 'Sports', 'Gymnasium']",,
2093,Manningham City Council,Definition Fitness Centre,East Doncaster,-37.776105,145.165123,Fitness / Gymnasium Workouts,1.0,,,,352 Blackburn Road East Doncaster 3109,,"['Manningham City Council', 'East Doncaster', 'Sports', 'Gymnasium']",,
2094,Manningham City Council,Equilibrium Health & Fitness,East Doncaster,-37.764911,145.173067,Fitness / Gymnasium Workouts,1.0,,,,136-140 Anderson Creek Road East Doncaster 3109,,"['Manningham City Council', 'East Doncaster', 'Sports', 'Gymnasium']",,
2095,Manningham City Council,Fernwood Bulleen,Bulleen,-37.767133,145.093037,Fitness / Gymnasium Workouts,1.0,,,,109 Manningham Road Bulleen 3105,,"['Manningham City Council', 'Bulleen', 'Sports', 'Gymnasium']",,
2096,Manningham City Council,Focus Health & Fitness,Bulleen,-37.764466,145.082503,Fitness / Gymnasium Workouts,1.0,,,,209 Bulleen Road Bulleen 3105,,"['Manningham City Council', 'Bulleen', 'Sports', 'Gymnasium']",,
2097,Manningham City Council,Genesis Doncaster,Doncaster,-37.779595,145.123064,Fitness / Gymnasium Workouts,1.0,,,,9 williamsons Road Doncaster 3108,,"['Manningham City Council', 'Doncaster', 'Sports', 'Gymnasium']",,
2098,Manningham City Council,Gracie Jiu-Jitsu Templestowe,Templestowe,-37.757265,145.1279,Fitness / Gymnasium Workouts,1.0,,,,143A Parker Street Templestowe 3106,,"['Manningham City Council', 'Templestowe', 'Sports', 'Gymnasium']",,
2099,Manningham City Council,Inspire Health & Wellness,Templestowe,-37.753999,145.148747,Fitness / Gymnasium Workouts,1.0,,,,200 High Street Templestowe 3106,,"['Manningham City Council', 'Templestowe', 'Sports', 'Gymnasium']",,
2100,Manningham City Council,Life your Way,Doncaster,-37.779497,145.141453,Fitness / Gymnasium Workouts,1.0,,,,181 George Street Doncaster 3108,,"['Manningham City Council', 'Doncaster', 'Sports', 'Gymnasium']",,
2101,Manningham City Council,RivvaPT,Warrandyte,-37.737468,145.22392,Fitness / Gymnasium Workouts,1.0,,,,266 Yarra Street Warrandyte 3113,,"['Manningham City Council', 'Warrandyte', 'Sports', 'Gymnasium']",,
2102,Manningham City Council,Eastern Golf Club,Doncaster,-37.786687,145.113026,Golf,18.0,18 Hole Course - Private,,,Doncaster Road Doncaster 3108,,"['Manningham City Council', 'Doncaster', 'Sports', 'Golf']",,
2103,Manningham City Council,Yarra Valley Country Club,Bulleen,-37.75729000000000,145.08418800000000,Golf,9.0,9 Hole Course - Public,,,Templestowe Road Bulleen 3105,,"['Manningham City Council', 'Bulleen', 'Sports', 'Golf']",,
2104,Manningham City Council,Mullum Mullum Reserve,Donvale,-37.767084,145.18440900000000,Hockey,1.0,Artificial Turf,4. Good,Unisex,Springvale Road Donvale 3111,,"['Manningham City Council', 'Donvale', 'Sports', 'Hockey']",,
2105,Manningham City Council,Trinity Grammar Sports Ground,Bulleen,-37.773272,145.085455,Hockey,1.0,Artificial Turf,,,Barak Street Bulleen 3105,,"['Manningham City Council', 'Bulleen', 'Sports', 'Hockey']",,
2106,Manningham City Council,Doncaster Bowling Club,Doncaster,-37.78501,145.132987,Lawn Bowls,2.0,Grass,4. Good,Female,JJ Tully Drive Doncaster 3108,,"['Manningham City Council', 'Doncaster', 'Sports']",,
2107,Manningham City Council,Templestowe Bowls Club,Templestowe,-37.756735,145.12306,Lawn Bowls,1.0,Grass,4. Good,"Female, Male",Parker Street Templestowe 3106,,"['Manningham City Council', 'Templestowe', 'Sports']",,
2108,Manningham City Council,Bulleen Bowl,Lower Templestowe,-37.762027,145.099735,Skating,1.0,,4. Good,,Swanston Street Lower Templestowe 3107,,"['Manningham City Council', 'Lower Templestowe', 'Sports', 'Skating']",,
2109,Manningham City Council,Anderson Park,Donvale,-37.765054,145.170166,Soccer,3.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Andersons Creek Road Donvale 3111,,"['Manningham City Council', 'Donvale', 'Sports', 'Soccer']",,
2110,Manningham City Council,Park Avenue Reserve,Doncaster,-37.784724,145.101257,Soccer,1.0,Grass,4. Good,"Male, Umpire/Officials",Parker Avenue Doncaster 3108,,"['Manningham City Council', 'Doncaster', 'Sports', 'Soccer']",,
2111,Manningham City Council,Petty's Reserve,Templestowe,-37.760723,145.151832,Soccer,1.0,Grass,4. Good,,Reynolds Road Templestowe 3106,,"['Manningham City Council', 'Templestowe', 'Sports', 'Soccer']",,
2112,Manningham City Council,Westerfolds Sports Centre,Templestowe,-37.756966,145.124166,Squash / Racquetball,8.0,,,,2 Swilk Street Templestowe 3106,,"['Manningham City Council', 'Templestowe', 'Sports', 'Squash']",,
2113,Manningham City Council,Doncaster Tennis Club,Doncaster,-37.787693,145.139593,Tennis (Outdoor),2.0,Artificial Turf,4. Good,"Female, Male",Doncaster Road Doncaster 3108,,"['Manningham City Council', 'Doncaster', 'Sports', 'Tennis']",,
2114,Manningham City Council,Hillcrest Tennis Club,Donvale,-37.801927,145.195356,Tennis (Outdoor),1.0,Plexipave,4. Good,,Lisbeth Avenue Donvale 3111,,"['Manningham City Council', 'Donvale', 'Sports', 'Tennis']",,
2115,Manningham City Council,Park Orchards Reserve,Park Orchards,-37.778469,145.21406000000000,Tennis (Outdoor),6.0,Artificial Turf,4. Good,"Female, Male",Granard Avenue Park Orchards 3114,,"['Manningham City Council', 'Park Orchards', 'Sports', 'Tennis']",,
2116,Melbourne City Council,Fernwood - Carlton,Carlton,-37.79558400000000,144.974952,Fitness / Gymnasium Workouts,,,,,193-197 Nicholson Street Carlton 3053,,"['Melbourne City Council', 'Carlton', 'Sports', 'Gymnasium']",,
2117,Melbourne City Council,Fernwood Carlton,Carlton,-37.795621,144.975108,Fitness / Gymnasium Workouts,1.0,,,,197 Nicholson Street Carlton 3053,,"['Melbourne City Council', 'Carlton', 'Sports', 'Gymnasium']",,
2118,Melbourne City Council,Lifestyle Fitness Centre,Richmond,-37.809924,144.96706800000000,Fitness / Gymnasium Workouts,1.0,,,,401 Church Street Richmond 3121,,"['Melbourne City Council', 'Richmond', 'Sports', 'Gymnasium']",,
2119,Melbourne City Council,Princess Hill Primary School,Princes Hill,-37.780992,144.962781,Soccer (Indoor Soccer / Futsal),1.0,,,,Pigdon Street Princes Hill,,"['Melbourne City Council', 'Princes Hill', 'Sports', 'Soccer']",,
2120,Melbourne City Council,LifeStyle Fitness Centre,Forest Hill,-37.809924,144.96706800000000,Fitness / Gymnasium Workouts,1.0,,,,79 Mahoneys Road Forest Hill 3131,,"['Melbourne City Council', 'Forest Hill', 'Sports', 'Gymnasium']",,
2121,Melbourne City Council,Terry Bennett Fitness Centre,Prahran,-37.850667,144.984201,Fitness / Gymnasium Workouts,1.0,,4. Good,"Female, Male",1/227 High Street Prahran 3181,,"['Melbourne City Council', 'Prahran', 'Sports', 'Gymnasium']",,
2122,Melbourne City Council,Etihad,Melbourne,-37.816543,144.947118,Australian Rules Football,1.0,Grass,,,Bourke Street Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Football']",,
2123,Melbourne City Council,Fawkner Park,South Yarra,-37.8404,144.981583,Australian Rules Football,2.0,Grass,4. Good,"Umpire/Officials, Unisex",Pasley Street North South Yarra,,"['Melbourne City Council', 'South Yarra', 'Sports', 'Football']",,
2124,Melbourne City Council,Goschs Paddock,Richmond,-37.825859,144.986675,Australian Rules Football,,Grass,,,Punt Road Richmond,,"['Melbourne City Council', 'Richmond', 'Sports', 'Football']",,
2125,Melbourne City Council,JJ Holland Park,South Kensington,-37.797812,144.924151,Australian Rules Football,1.0,Artificial Turf,5. Very Good,"Female, Male, Umpire/Officials",Kensington Road South Kensington,,"['Melbourne City Council', 'South Kensington', 'Sports', 'Football']",,
2126,Melbourne City Council,MCG,Richmond,-37.820175,144.98277,Australian Rules Football,1.0,Grass,,,Brunton Avenue Richmond,,"['Melbourne City Council', 'Richmond', 'Sports', 'Football']",,
2127,Melbourne City Council,North Melbourne Football Ground,North Melbourne,-37.799036,144.941247,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Arden Street North Melbourne,,"['Melbourne City Council', 'North Melbourne', 'Sports', 'Football']",,
2128,Melbourne City Council,Princes Park,Parkville,-37.785105,144.960662,Australian Rules Football,2.0,Grass,3. Average,"Female, Male, Umpire/Officials",Royal Parade Parkville,,"['Melbourne City Council', 'Parkville', 'Sports', 'Football']",,
2129,Melbourne City Council,Punt rd Recreation Reserve & Community Pool,Richmond,-37.822304,144.987903,Australian Rules Football,1.0,Grass,,,Punt Road Richmond,,"['Melbourne City Council', 'Richmond', 'Sports', 'Football']",,
2130,Melbourne City Council,Royal Park,Parkville,-37.783169,144.949402,Australian Rules Football,4.0,Grass,4. Good,"Umpire/Officials, Unisex",Macarthur Road Parkville,,"['Melbourne City Council', 'Parkville', 'Sports', 'Football']",,
2131,Melbourne City Council,Visy Park,Parkville,-37.785105,144.960662,Australian Rules Football,1.0,Grass,4. Good,"Female, Male, Umpire/Officials",Royal Parade Parkville,,"['Melbourne City Council', 'Parkville', 'Sports', 'Football']",,
2132,Melbourne City Council,Carlton Baths Community Centre,Carlton,-37.792875,144.969005,Badminton,,,,,248 Rathdowne Street Carlton,,"['Melbourne City Council', 'Carlton', 'Sports', 'Badminton']",,
2133,Melbourne City Council,Kensington Community Recreation Centre,Kensington,-37.796187,144.924603,Basketball,1.0,Wooden Gymnasium,3. Average,"Female, Male",Altona Street Kensington,,"['Melbourne City Council', 'Kensington', 'Sports', 'Basketball']",,
2134,Melbourne City Council,North Melbourne Community Centre,North Melbourne,-37.793231,144.939922,Basketball,,Wooden Gymnasium,1. Very Poor,"Female, Male",53 Buncle Street North Melbourne,,"['Melbourne City Council', 'North Melbourne', 'Sports', 'Basketball']",,
2135,Melbourne City Council,North Melbourne Recreation Centre,North Melbourne,-37.799291,144.941973,Basketball,1.0,Wooden Gymnasium,5. Very Good,"Female, Male, Umpire/Officials",206 Arden Street North Melbourne,,"['Melbourne City Council', 'North Melbourne', 'Sports', 'Basketball']",,
2136,Melbourne City Council,State Netball & Hockey Centre,Parkville,-37.783169,144.949402,Basketball,1.0,Wooden Gymnasium,,,Brens Drive Parkville,,"['Melbourne City Council', 'Parkville', 'Sports', 'Basketball']",,
2137,Melbourne City Council,Kings Domain,South Yarra,-37.83272,144.975563,Cricket,1.0,Turf Pitch,3. Average,Unisex,Domain Road South Yarra,,"['Melbourne City Council', 'South Yarra', 'Sports', 'Cricket']",,
2138,Melbourne City Council,Newmarket Reserve,Flemington,-37.788141,144.923465,Cricket,1.0,Turf Pitch,2. Poor,"Female, Male",Smithfield Road Flemington,,"['Melbourne City Council', 'Flemington', 'Sports', 'Cricket']",,
2139,Melbourne City Council,Melbourne Park,Melbourne,-37.821437,144.979104,Cycling,,Indoor Velodrome,,,Olympic Boulevard Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Cycling']",,
2140,Melbourne City Council,Active Melbourne City Sports,Docklands,-37.81847,144.947109,Fitness / Gymnasium Workouts,1.0,,,,744 Bourke Street Docklands 3008,,"['Melbourne City Council', 'Docklands', 'Sports', 'Gymnasium']",,
2141,Melbourne City Council,Beach House City Express,Melbourne,-37.809387,144.962518,Fitness / Gymnasium Workouts,1.0,,,,23 Little Latrobe Street Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnasium']",,
2142,Melbourne City Council,Corporate Fitness Club,Melbourne,-37.817507,144.963621,Fitness / Gymnasium Workouts,1.0,,,,321 Flinders Lane Melbourne 3000,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnasium']",,
2143,Melbourne City Council,Equilibrium Health & Fitness,North Melbourne,-37.804412,144.949088,Fitness / Gymnasium Workouts,1.0,,,,23 Errol Steet North Melbourne,,"['Melbourne City Council', 'North Melbourne', 'Sports', 'Gymnasium']",,
2144,Melbourne City Council,Fernwood Women's Health Club,Melbourne,-37.81923,144.958126,Fitness / Gymnasium Workouts,1.0,,,,475 Flinders Lane Melbourne 3000,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnasium']",,
2145,Melbourne City Council,Fitness First Melbourne CBD Bourke St,Melbourne,-37.814466,144.96356,Fitness / Gymnasium Workouts,,,,,341-345 Bourke Street Melbourne 3000,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnasium']",,
2146,Melbourne City Council,Fitness First Melbourne Central,Melbourne,-37.810917,144.962776,Fitness / Gymnasium Workouts,1.0,,,,211 Latrobe Street Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnasium']",,
2147,Melbourne City Council,Fitness First QV Platinum,Melbourne,-37.809845,144.966508,Fitness / Gymnasium Workouts,1.0,,,,Lonsdale Street Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnasium']",,
2148,Melbourne City Council,Genesis Flinders st,Melbourne,-37.819174,144.95846700000000,Fitness / Gymnasium Workouts,1.0,,,,452 Flinders Street Melbourne 3001,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnasium']",,
2149,Melbourne City Council,Genesis Southbank,Southbank,-37.822309,144.961934,Fitness / Gymnasium Workouts,1.0,,,,4 Freshwater Place Southbank 3006,,"['Melbourne City Council', 'Southbank', 'Sports', 'Gymnasium']",,
2150,Melbourne City Council,Gensis Fitness,Melbourne,-37.809457,144.971145,Fitness / Gymnasium Workouts,1.0,,,,50 Lonsdale Street Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnasium']",,
2151,Melbourne City Council,Ladyworks Fitness Club,Melbourne,-37.809584,144.961729,Fitness / Gymnasium Workouts,1.0,,,,23 Little Latrobe Street Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnasium']",,
2152,Melbourne City Council,Melbourne City Baths,Melbourne,-37.807035,144.963103,Fitness / Gymnasium Workouts,,,5. Very Good,"Female, Male",420 Swanston Street Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnasium']",,
2153,Melbourne City Council,Metrobody Health & Fitness,Melbourne,-37.809151,144.925364,Fitness / Gymnasium Workouts,1.0,,,,29 Summerset Place Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnasium']",,
2154,Melbourne City Council,RMIT Union Fitness Centre,Melbourne,-37.806609,144.962454,Fitness / Gymnasium Workouts,1.0,,,,Swanston Street Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnasium']",,
2155,Melbourne City Council,South Pacific Health Club Melbourne CBD,Melbourne,-37.815667,144.957512,Fitness / Gymnasium Workouts,,,,,550 Bourke Street Melbourne 3000,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnasium']",,
2156,Melbourne City Council,TKO Fitness,West Melbourne,-37.807537,144.946833,Fitness / Gymnasium Workouts,1.0,,,,99 Hawke Street West Melbourne,,"['Melbourne City Council', 'West Melbourne', 'Sports', 'Gymnasium']",,
2157,Melbourne City Council,Westpac Centre,Melbourne,-37.824674,144.981926,Fitness / Gymnasium Workouts,,,,,Olympic Boulevard Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnasium']",,
2158,Melbourne City Council,YMCA Docklands,Southbank,-37.825312,144.965295,Fitness / Gymnasium Workouts,2.0,,5. Very Good,"Female, Male",100 Habour Esplanade Southbank,,"['Melbourne City Council', 'Southbank', 'Sports', 'Gymnasium']",,
2159,Melbourne City Council,Wesley Lions Gymnastics,Melbourne,-37.818721,144.968024,Gymnastics,,,,,577 St Kilda Road Melbourne 3181,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Gymnastics']",,
2160,Melbourne City Council,Beaurepaire Hockey Field,Carlton,-37.795471,144.961432,Hockey,1.0,Artificial Turf,,,Tin Alley Carlton 3053,,"['Melbourne City Council', 'Carlton', 'Sports', 'Hockey']",,
2161,Melbourne City Council,City of Melbourne Bowls Club,Melbourne,-37.809912,144.95443,Lawn Bowls,1.0,Grass,5. Very Good,"Female, Male",William Street Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports']",,
2162,Melbourne City Council,Melbourne Martial Arts Academy,Melbourne,-37.817225,144.96822,Martial Arts,1.0,,,,367 Flinders Street Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Martial Arts']",,
2163,Melbourne City Council,Flagstaff Gardens,Melbourne,-37.809912,144.95443,Netball,2.0,Synthetic,2. Poor,,William Street Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Netball']",,
2164,Melbourne City Council,AAMI Park,Melbourne,-37.824674,144.981926,Rugby League,1.0,Grass,,,Olympic Boulevard Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Rugby']",,
2165,Melbourne City Council,Docklands Yacht Club,Docklands,-37.820415,144.937261,Sailing,,,,,North Wharf Road Docklands 3008,,"['Melbourne City Council', 'Docklands', 'Sports', 'Sailing']",,
2166,Melbourne City Council,Melbourne International Shooting Club,Port Melbourne,-37.8295,144.913757,Shooting Sports,,,,,Todd Road Port Melbourne 3207,,"['Melbourne City Council', 'Port Melbourne', 'Sports', 'Shooting']",,
2167,Melbourne City Council,Carlton Gardens Tennis Club,Melbourne,-37.802325,144.97286,Tennis (Outdoor),4.0,Artificial Turf,4. Good,"Female, Male",11 Nicholson Street Melbourne,,"['Melbourne City Council', 'Melbourne', 'Sports', 'Tennis']",,
2168,Melbourne City Council,Kensington Banks Tennis Club,Kensington,-37.79453400000000,144.915836,Tennis (Outdoor),3.0,Artificial Turf,3. Average,,Speakman Street Kensington,,"['Melbourne City Council', 'Kensington', 'Sports', 'Tennis']",,
2169,Frankston City Council,Genesis Health & Fitness,Toorak,-38.151186,145.165393,Fitness / Gymnasium Workouts,1.0,,4. Good,"Female, Male",521 Toorak Road Toorak 3142,,"['Frankston City Council', 'Toorak', 'Sports', 'Gymnasium']",,
2170,Frankston City Council,Dingley Club Grounds,Patterson Lakes,-38.068362,145.156627,Equestrian,,,,,Learmonth Road Patterson Lakes 3197,,"['Frankston City Council', 'Patterson Lakes', 'Sports']",,
2171,Frankston City Council,Saxon Sports Frankston,Frankston,-38.133,145.128,AFL (Indoor),2.0,,,,New Street Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'AFL']",,
2172,Frankston City Council,Baxter Park,Franskton South,-38.19338,145.142572,Archery,1.0,Outdoor Archery,3. Average,,Moorooduc Road Franskton South 3199,,"['Frankston City Council', 'Franskton South', 'Sports']",,
2173,Frankston City Council,Ballam Park,Frankston,-38.15,145.159892,Athletics,1.0,Synthetic Running Track,4. Good,"Female, Male, Umpire/Officials",Cranbourne Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Athletics']",,
2174,Frankston City Council,Banyan Reserve,Carrum Downs,-38.093897,145.183333,Athletics,1.0,Grass Running Track,4. Good,,Luscombe Avenue Carrum Downs 3201,,"['Frankston City Council', 'Carrum Downs', 'Sports', 'Athletics']",,
2175,Frankston City Council,Riviera Reserve,Seaford,-38.08706,145.132041,Athletics,1.0,Grass Running Track,3. Average,Male,Eel Race Road Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports', 'Athletics']",,
2176,Frankston City Council,Victoria Park,Frankston,-38.150916,145.12153,Athletics,1.0,Grass Running Track,3. Average,,Nolan Street Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Athletics']",,
2177,Frankston City Council,Baden Powell Reserve,Franskton South,-38.172133,145.10854800000000,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Baden Powell Drive Franskton South 3199,,"['Frankston City Council', 'Franskton South', 'Sports', 'Football']",,
2178,Frankston City Council,Belvedere Reserve,Seaford,-38.105502,145.157131,Australian Rules Football,3.0,Grass,,"Female, Male, Umpire/Officials",East Road Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports', 'Football']",,
2179,Frankston City Council,Bruce Park,Frankston,-38.161909,145.13902,Australian Rules Football,1.0,Grass,4. Good,Male,Bondi Avenue Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Football']",,
2180,Frankston City Council,Carrum Downs Recreation Reserve,Carrum Downs,-38.085777,145.188365,Australian Rules Football,2.0,Grass,4. Good,Male,Wedge Road Carrum Downs 3201,,"['Frankston City Council', 'Carrum Downs', 'Sports', 'Football']",,
2181,Frankston City Council,East Seaford Reserve (Norm Cathie Oval),Seaford,-38.107996,145.141851,Australian Rules Football,1.0,Grass,3. Average,,Austin Road Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports', 'Football']",,
2182,Frankston City Council,Eric Bell Reserve,Frankston North,-38.124842,145.147295,Australian Rules Football,1.0,Grass,5. Very Good,Male,Forest Drive Frankston North 3200,,"['Frankston City Council', 'Frankston North', 'Sports', 'Football']",,
2183,Frankston City Council,Frankston Park,Frankston,-38.147882,145.119771,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",High Street Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Football']",,
2184,Frankston City Council,Jubilee Park,Frankston,-38.151809,145.144051,Australian Rules Football,2.0,Grass,4. Good,"Female, Male",Hillcrest Road Frankston 3199,,"['Frankston City Council', 'Frankston', 'Sports', 'Football']",,
2185,Frankston City Council,Kananook Reserve,Seaford,-38.120432,145.132293,Australian Rules Football,1.0,Grass,3. Average,Male,Kirkwood Avenue Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports', 'Football']",,
2186,Frankston City Council,Lloyd Park,Langwarrin,-38.14872800000000,145.19069200000000,Australian Rules Football,2.0,Grass,4. Good,"Female, Male",Cranbourne Road Langwarrin 3910,,"['Frankston City Council', 'Langwarrin', 'Sports', 'Football']",,
2187,Frankston City Council,Overport Park,Frankston South,-38.18305,145.12164200000000,Australian Rules Football,2.0,Grass,4. Good,Male,Sommerset Road Frankston South 3199,,"['Frankston City Council', 'Frankston South', 'Sports', 'Football']",,
2188,Frankston City Council,Pat Rollo Reserve,Frankston North,-38.115639,145.15989,Australian Rules Football,1.0,Grass,3. Average,Male,Silver Avenue Frankston North 3200,,"['Frankston City Council', 'Frankston North', 'Sports', 'Football']",,
2189,Frankston City Council,Seaford Reserve,Seaford,-38.109326,145.128416,Australian Rules Football,1.0,Grass,3. Average,Male,Seaford Road Seaford 3198,,"['Frankston City Council', 'Seaford', 'Sports', 'Football']",,
2190,Frankston City Council,Frankston South Recreation Centre,Frankston South,-38.161161,145.127307,Badminton,,Wooden Flooring,,,55 Towerhill Road Frankston South 3199,,"['Frankston City Council', 'Frankston South', 'Sports', 'Badminton']",,
2191,Frankston City Council,Botany Park Recreation Reserve,Carrum Downs,-38.109486,145.174562,Baseball,1.0,Grass,4. Good,Male,Shearwater Drive Carrum Downs 3201,,"['Frankston City Council', 'Carrum Downs', 'Sports', 'Baseball']",,
